label,text
0,"RT @DarkEnergyTweet: Crocodiles have made their home in a toxic river in Costa Rica. Sewage apparently doesn’t bother them
  https://t.co/OSv…"
0,"RT @DarkEnergyTweet: Snake Island off the coast of Brazil is so dangerous that entry has been banned
  https://t.co/ADpapTTVwB
  #medium #mediu…"
1,"Trivia about hamsters. What should you know about them? These charming creatures lead a nocturnal lifestyle
  https://t.co/vz97Ybe6ms
  #medium #mediumwriters #animals #hamster #hamsters #pets #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #articles #article https://t.co/C3sLu6qCN8"
0,"RT @DarkMatterPosts: Not just Christmas. Holidays in December you might not have known about
  https://t.co/sS66xcH4Q3
  #medium #mediumwriters…"
0,"RT @DarkEnergyTweet: Trivia about the USA — find out the most interesting information about the United States
  https://t.co/QR408N2JEx
  #medi…"
0,"RT @DarkEnergyTweet: NASA has shown new images of the Moon’s surface — there are no better pictures since 1975
  https://t.co/QecNYPFum9
  #Med…"
0,"Ranking — The world’s most stressful airports.
  https://t.co/j9Yb4NGD2E
  #medium #mediumwriters #travel #traveling #Airport #stress #health #ranking #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #articles #article #facts #trivia https://t.co/sa4gZSoa8r"
1,"RT @DarkMatterPosts: Dog or cat — which pet is better? The answer is not so obvious
  https://t.co/SNPPT8n59m
  #medium #mediumwriters #dogs #c…"
0,"RT @DarkEnergyTweet: Meteorite impact allowed a glimpse into Mars’ crust
  https://t.co/jDnpvIqmNP
  #medium #mediumwriters #mars #redplanet #n…"
0,"RT @DarkEnergyTweet: These trivia facts about the Titanic shed new light on the disaster. There weren’t enough lifeboats, but that’s not al…"
1,"Trivia about rabbits. What should you know before taking care of a rabbit?
  https://t.co/RsaixXFqD4
  #animals #nature #pets #rabbit #rabbits #life #lifelessons #science #blog #blogs #writer #writers #knowmore #interesting #articles #article #facts #trivia https://t.co/8e4i5FAsv5"
0,"RT @DarkEnergyTweet: The world’s oldest cat — the record holder with her age has surpassed the oldest living person, who is 118 years old
  h…"
1,"RT @DarkEnergyTweet: Archaeologists have compared a discovery at the bottom of Lake Constance to Stonehenge. What did they find there?
  http…"
1,"RT @DarkMatterPosts: What can we do to make our pets love us? Find out how to gain the trust of your dog, cat and other pets
  https://t.co/g…"
1,"Charles V’s secret code broken after five centuries. Who wanted to kill the King of Spain?
  https://t.co/QVZTknuKTs
  #medium #mediumwriters #history #code #secret #cipher #life #lifelessons #news #research #study #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/OpcP4f2cOS"
1,"RT @DarkMatterPosts: The low level of the Mississippi River has uncovered a fossil of a long-extinct creature. What is this species?
  https:…"
0,"RT @DarkMatterPosts: Trivia about Saudi Arabia — a country famous for its wealth and prohibitions
  https://t.co/a7mvPU0but
  #medium #mediumwr…"
1,"RT @DarkEnergyTweet: The world’s most expensive drug has been registered. For whom is it intended and how much does one dose cost?
  https://…"
1,"RT @DarkEnergyTweet: Does Santa Claus exist? The true story of the Bishop of Myra
  https://t.co/JtlNgv4DiO
  #medium #mediumwriters #christmas…"
0,"RT @DarkEnergyTweet: Meet the “world’s oldest children” who were born from embryos frozen 30 years ago. This is a real record
  https://t.co/…"
0,"A goldfish caught in France weighs as much as two dogs — but it’s still not the biggest in the area
  https://t.co/1qq7rDbcmU
  #medium #mediumwriters #fish #fishing #uk #life #lifelessons #science #lifestyle #news #nature #animals #blog #blogs #article #articles #writer #writers https://t.co/t8QadH1w4N"
1,"RT @DarkMatterPosts: Mysterious behavior of a flock of sheep in China. Why did they walk in circles for 12 days in a row?
  https://t.co/nwrk…"
0,"RT @DarkMatterPosts: Mysterious coins found more than 300 years ago depict forgotten Roman emperor
  https://t.co/65cpcTaEwu
  #medium #mediumw…"
0,"RT @DarkEnergyTweet: An invisible black hole has been found in the Tarantula nebula
  https://t.co/ONNaveamlC
  #medium #mediumwriters #space #…"
0,"RT @DarkEnergyTweet: Mysterious fragments of an ancient astronomical instrument have been discovered in an “assassin” castle
  https://t.co/b…"
1,"RT @DarkEnergyTweet: More than 500 million years ago, not all animals had intestines, and they ate anyway. What else do the newly studied f…"
1,"RT @GlamStyle11: 10 proven ways to make sex last longer. Sex positions, stimulation…. What else?
  https://t.co/je2fY6aKJv
  #medium #mediumwri…"
0,"Edible insects enjoyed by people around the world. They are extremely nutritious and very tasty
  https://t.co/l3hCbYwo0X
  #medium #mediumwriters #food #insects #climatechange #ClimateCrisis #lifestyle #life #lifelessons #blog #blogs #article #articles #writer #writers #facts https://t.co/UDCmdXb2Zr"
0,"RT @DarkMatterPosts: The world’s heaviest flying bird can heal itself. It uses herbs used in traditional medicine
  https://t.co/Jtx804Q2Kk
  #…"
0,"RT @DarkMatterPosts: Trivia about Ireland — find out the most interesting information about life in Ireland
  https://t.co/tBaarCr6K6
  #medium…"
1,"RT @DarkEnergyTweet: The Earth’s upper atmosphere is shrinking. Does this have any advantages?
  https://t.co/HC0AvEZdM1
  #medium #mediumwrite…"
1,"RT @DarkEnergyTweet: Neutron black widow, or who is being devoured by the record pulsar and why
  https://t.co/iUaVXpN7GU
  #medium #MediumWrit…"
1,"Archaeologists have discovered traces of an ancient Mayan settlement. In the past it was the capital of an important dynasty
  https://t.co/divxgu27kd
  #medium #mediumwriters #history #science #research #culture #life #Lifelessons #blog #blogs #article #articles #writer #writers https://t.co/v4kaURqlHi"
1,"RT @DarkMatterPosts: Roman roads still have a major impact on our lives. How is that possible when most of them are gone?
  https://t.co/vbxs…"
0,"RT @DarkEnergyTweet: Qatar championship in the shadow of death, exploitation and blood
  https://t.co/H5GbKg8kbW
  #medium #mediumwriters #Qata…"
0,"RT @DarkEnergyTweet: Lesser known facts about Greece — check them out
  https://t.co/uMKJT9DvAT
  #medium #mediumwriters #greece #travel #trave…"
1,RT @DarkEnergyTweet: How much does the Earth weigh? Six ronnagrams. Here are the new prefixes for the largest and smallest units of measure…
0,"Trivia about Switzerland — find out the most interesting information about this European country
  https://t.co/nf1C3uGBbQ
  #medium #mediumwriters #Switzerland #travel #traveling #tourism #life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore #interesting https://t.co/sEMHGxCBTv"
1,"RT @DarkMatterPosts: Interesting facts about Indonesia. What is worth knowing about this island country?
  https://t.co/3UkjtYpQc4
  #medium #m…"
1,"RT @DarkMatterPosts: The fastest trains in the world. Did you know what speeds they can reach?
  https://t.co/vwZEkLlRwh
  #medium #mediumwrite…"
1,"RT @GlamStyle11: Cardio training — what does it consist of and what does it give? Will result in rapid weight loss, but this is not the mos…"
0,"RT @DarkEnergyTweet: Strange places in the world — amazing travel destinations
  https://t.co/kaQyD0gr0m
  #medium #mediumwriters #travel #trav…"
0,"RT @DarkEnergyTweet: Sharks — The biggest fish, the strongest jaws and a fratricidal fight in the womb
  https://t.co/OXl8bwL2Qh
  #medium #med…"
0,"RT @DarkEnergyTweet: The multiverse: once a speculation, now a hypothesis based on a mathematical foundation
  https://t.co/tGrgF7VPwH
  #mediu…"
1,"Interesting facts about Qatar. Find out what you don’t know about the country
  https://t.co/trkZ7iUJAR
  #medium #mediumwriters #qatar #doha #QatarWorldCup2022 #travel #traveling #trivia #culture #life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore https://t.co/sDflodXhfW"
0,"RT @DarkMatterPosts: The world’s first constitution — not necessarily American
  https://t.co/jEV6M3u8QA
  #medium #mediumwriters #history #sci…"
0,"RT @DarkMatterPosts: Trivia about Paris — discover surprising facts about the French capital
  https://t.co/YbSZ5cfES2
  #medium #mediumwriters…"
1,"RT @DarkEnergyTweet: Is coffee healthy? Thanks to scientific research, we know how to brew it and how much to drink per day
  https://t.co/w7…"
1,"RT @DarkEnergyTweet: Webb’s telescope took an amazing photo of a fiery hourglass. What does it show?
  https://t.co/pSzoKUKM1A
  #medium #mediu…"
1,"RT @DarkEnergyTweet: Queen Hatshepsut — who was the most famous pharaohess?
  https://t.co/yVEyOUCnd9
  #medium #mediumwriters #history #cultur…"
1,"It is home to the world’s largest Christmas tree. When will you be able to see it this year?
  https://t.co/LAFuIxmakV
  #medium #mediumwriters #travel #italy #traveling #ChristmasTree #christmas2022 #christmas #life #lifelessons #lifestyle #culture #blog #blogs #writer #writers https://t.co/mBAmr0Q0FN"
0,"RT @DarkMatterPosts: The world’s oldest mother gave birth to twins. It’s a story without a happy ending
  https://t.co/0Hi6RU0PpP
  #medium #me…"
0,"RT @DarkMatterPosts: Trivia about Britain — interesting cultural, historical and tourist facts
  https://t.co/wVGfxRKISU
  #medium #mediumwrite…"
0,"RT @DarkEnergyTweet: Mystery of tiger stripes on Phobos solved. Scientists now know where these strange structures came from
  https://t.co/E…"
0,"RT @DarkEnergyTweet: Hundreds of sarcophagi have been discovered at Giza. Well-preserved mummies have been found in them
  https://t.co/JddR8…"
1,"RT @DarkEnergyTweet: An ancient and hated disease can regenerate the liver? That’s what new research suggests
  https://t.co/trenfniBXk
  #medi…"
1,"Scientists say there is an effective way to communicate with a cat. What is it?
  https://t.co/FxxWj62YRi
  #medium #mediumwriters #cats #pets #science #life #lifelessons #news #study #research #language #cat #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/LTyX3W1RJ6"
0,"RT @DarkMatterPosts: Hanging coffins in the Philippines are not a tourist attraction — this is how the dead are buried there
  https://t.co/z…"
1,"RT @DarkMatterPosts: La Niña and El Niño weather phenomena will get stronger. What does this mean for the planet?
  https://t.co/IYLdK5j434
  #…"
0,"RT @DarkEnergyTweet: Cobra bites child, child bites cobra, cobra is dead
  https://t.co/CpwRsLYZpR
  #medium #mediumwriters #nature #animals #f…"
0,"RT @DarkEnergyTweet: Macabre discovery: ancient Egyptians used branding iron to mark slaves
  https://t.co/V3hZdqHDld
  #medium #mediumwriters…"
0,"RT @DarkEnergyTweet: Bumblebees play for pleasure. This is further evidence of how we underestimate insect minds.
  https://t.co/cViODc5E1p
  #…"
1,"Meet the pizzly bears. Here are the bear hybrids that could spread across the Arctic in the future
  https://t.co/cdRvXcaPgE
  #medium #mediumwriters #animals #nature #bears #science #life #lifelessons #climatechange #ClimateCrisis #blog #blogs #article #articles #writer #writers https://t.co/4zZPKxw2Fj"
1,"Over the past 50 years, bee life expectancy has been cut in half. Why?
  https://t.co/Dj2kqGlDAD
  #medium #mediumwriters #bees #nature #animals #life #Lifelessons #science #news #research #study #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts https://t.co/vBvDt70a2O"
1,"RT @DarkMatterPosts: Where is the upper limit of population expansion?
  https://t.co/63wfUXOHZB
  #medium #mediumwriters #people #news #life #…"
0,"RT @DarkEnergyTweet: Banksy has confirmed that he is in Ukraine. He has already created a total of seven new murals there
  https://t.co/xhta…"
1,"Where did pterosaurs fly? Paleontologists have discovered a new pelican-like species
  https://t.co/WxeZMJQ7Q3
  #medium #mediumwriters #history #animals #nature #science #life #lifelessons #dinosaurs #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts https://t.co/QKIb7lJkIw"
1,"RT @DarkMatterPosts: Archaeologists find oldest evidence of using fire to cook food
  https://t.co/zqUW7yppA1
  #medium #mediumwriters #history…"
1,"RT @DarkEnergyTweet: Tutankhamun’s lost treasure. Archaeologists have found traces indicating where it may be located
  https://t.co/4QtsgRfI…"
1,"What for resistance? 15 products that will strengthen your body — most of them you have at home
  https://t.co/2c7kuulqfN
  #medium #mediumwriters #food #health #body #life #lifelessons #resistance #immunity #blog #blogs #article #articles #writer #writers #knowmore #interesting https://t.co/aQ90oCN5B4"
0,"RT @DarkMatterPosts: For the first time in history, anyone can virtually enter the Pyramid of Cheops at Giza
  https://t.co/UgHzsYu2aW
  #mediu…"
0,"RT @DarkEnergyTweet: The oldest signs of life on Earth have just been found in Australia
  https://t.co/P9CRwDBXPB
  #medium #mediumwriters #li…"
1,"The largest aircraft in the world. TOP 5 largest flying machines
  https://t.co/aNr8byclQu
  #medium #mediumwriters #flying #life #Lifelessons #travel #traveling #history #science #tech #technology #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts https://t.co/ewN5bRbxtj"
1,"RT @DarkMatterPosts: The mysterious ice man. How was Ötzi’s body preserved in the Alps?
  https://t.co/sXnaqo0bJ5
  #medium #mediumwriters #dea…"
1,"RT @DarkEnergyTweet: A dinosaur with a helmet-like head could fight like modern kangaroos. What kind of species is this?
  https://t.co/YSjO4…"
0,"Trivia about water. A simple chemical compound without which there would be no life
  https://t.co/ABXzyyKgDD
  #medium #mediumwriters #water #oceans #earth #trivia #interesting #facts #life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore #blogger #blogging https://t.co/hzdRKBEJHd"
0,"RT @DarkMatterPosts: Trivia facts about the Eiffel Tower — you’ll be surprised how little you know about this tower
  https://t.co/huheA0ux0z…"
1,"RT @DarkEnergyTweet: A mysterious tunnel 1,300 meters long has been found under the ruins of the temple of Osiris in Egypt. Where does it l…"
0,"Scientists have invented a new way to repel ticks. “They act like they’re drunk.”
  https://t.co/EqmI1Gq6pI
  #medium #mediumwriters #ticks #animals #anture #technology #science #life #lifelessons #blog #blogs #article #articles #writer #writers #facts #interesting #knowmore #news https://t.co/TvAWv84WSw"
1,"RT @DarkMatterPosts: Here is the most famous forest cemetery the world. “A grove for the dead” contains more than 100,000 graves
  https://t.…"
0,"RT @DarkEnergyTweet: Hubble telescope has taken a fascinating photo of galaxies connected by a glowing “tail”
  https://t.co/MsNw0vQ5o1
  #medi…"
0,"RT @DarkEnergyTweet: After 26 years, scientists have deciphered a signal from around the Titanic wreck. “This is more fascinating than the…"
1,"RT @DarkMatterPosts: How do octopuses fight each other? Such a thing has never been seen!
  https://t.co/ymSTkq02OS
  #medium #mediumwriters #n…"
1,"Cats can help investigators examining crime scenes. How? They “collect” on their fur the DNA of humans
  https://t.co/8ALsOX2i0n
  #medium #mediumwriters #cats #animals #science #life #lifelessons #research #crime #investigation #blogs #article #articles #writer #writers #facts https://t.co/m6QyIbjzPi"
1,"RT @GlamStyle11: Quiet quitting — what is it? The trend is becoming increasingly popular in relationships and the market
  https://t.co/qwe9K…"
0,"Scientists have reconstructed the face of a Connecticut “vampire” who lived in the 19th century
  https://t.co/C8oRwVOvZs
  #medium #mediumwriters #vampires #vampire #history #science #health #life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/X5RiZnRpSl"
0,"RT @DarkMatterPosts: The oldest written sentence in the world has been discovered! — It was engraved on an ancient comb
  https://t.co/sfM3yi…"
1,"RT @DarkEnergyTweet: Why were the last auroras pink? For the next 3 years, the phenomenon may repeat itself
  https://t.co/04Un3YgYrQ
  #medium…"
1,"Interesting facts about Mexico — what don’t you know about this country?
  https://t.co/AwIU5GnJc3
  #medium #mediumwriters #lifestyle #culture #history #mexico #trivia #life #lifelessons #travel #traveling #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/vXPx00S3AA"
0,"RT @DarkMatterPosts: This is what the world’s largest cruise ship will look like. The vessel is dripping with luxury!
  https://t.co/KyZsSb4j…"
1,"RT @DarkEnergyTweet: One of the oldest planetary systems in the Milky Way has been discovered. How old is it?
  https://t.co/oeFU4OmiFz
  #medi…"
1,"RT @DarkMatterPosts: The world’s oldest languages — when were they created and which ones are still in use?
  https://t.co/JeeuQX08I5
  #medium…"
1,"RT @DarkEnergyTweet: A Chinese rocket the size of a 10-story building hit the Earth. Where did it fall?
  https://t.co/SMIizJ3GoZ
  #medium #me…"
0,"The last 8 years have seen a dramatic increase in global warming. Scientists are sounding the alarm!
  https://t.co/bc3A4jmN9s
  #medium #mediumwriters #nature #earth #life #lifelessons #science #climate #climatechange #ClimateCrisis #ClimateEmergency #ClimateAction #blog #blogs https://t.co/SZSQz4H9zi"
1,"More rainbows in the world? It’s possible, scientists say. The reason will surprise you!
  https://t.co/mQhCmc3DOb
  #medium #MediumWriters #rainbow #nature #climatechange #ClimateCrisis #research #life #lifelessons #news #blog #blogs #article #articles #writer #writers #knowmore https://t.co/cJp0hJvIY8"
1,"RT @ArticleBayTwitt: What don't you know about Germany?
  https://t.co/OCCglEdt4B
  #medium #mediumwriters #germany #german #travel #traveling…"
1,"RT @ArticleBayTwitt: The mummy of a 17th century child sheds new light on aristocratic upbringing. Why did the boy die?
  https://t.co/cUawvN…"
1,"RT @DarkMatterPosts: Canada trivia - 7 surprising facts about the country of the maple leaf
  https://t.co/OAV6ctCHbf
  #medium #mediumwriters…"
1,"RT @DarkMatterPosts: Interesting facts about reptiles that you should know. Here are the reptile record holders!
  https://t.co/pfT2RKHj18
  #m…"
0,"RT @DarkMatterPosts: Fish freaks have been found at the bottom of the ocean — meet the fish-ravioli and the fish on stilts!
  https://t.co/eE…"
1,"RT @DarkEnergyTweet: UFO mystery finally solved? Pentagon explains what unidentified flying objects were!
  https://t.co/PQjPPV8zYz
  #medium #…"
1,"What don't you know about Germany?
  https://t.co/OCCglEdt4B
  #medium #mediumwriters #germany #german #travel #traveling #lifestyle #culture #life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts #blogging #bloggers #blogging #trivia https://t.co/vTcNjszX1M"
1,"The mummy of a 17th century child sheds new light on aristocratic upbringing. Why did the boy die?
  https://t.co/cUawvNwU35
  #medium #mediumwriters #life #lifelessons #history #sicence #germany #research #study #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/iDgEtilTlU"
1,"RT @GlamStyle11: How to deal with stress? Effective techniques and ways to deal with stress
  https://t.co/jPJh8HRGZW
  #medium #mediumwriters…"
0,"The first ichthyosaur fossil — destroyed by the Nazis — had hidden copies. 2 of them have been found!
  https://t.co/pl2hUPuaNJ
  #medium #mediumwriters #science #dinosaur #nature #animals #history #life #Lifelessons #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/J4Hc20FC9B"
0,"RT @DarkMatterPosts: A 54-year-old woman left home and went missing. Her body was found in the belly of a giant python! + video
  https://t.c…"
0,"RT @DarkEnergyTweet: Ghibli Park has opened in Japan. An unusual place dedicated to famous anime by Hayao Miyazaki, among others.
  https://t…"
1,"Namib Desert: how are the mysterious hollow circles between the grasses formed? Scientists already know!
  https://t.co/I5yh3vLElo
  #medium #mediumwriters #science #life #lifelessons #nature #flora #rain #water #research #study #blog #blogs #article #articles #writer #writers #facts https://t.co/8b9DZivNiG"
0,"RT @DarkMatterPosts: Honey bees generate electrical charge like a thunderstorm!
  https://t.co/i1mFgSHZVr
  #medium #mediumwriters #nature #bee…"
0,"RT @DarkEnergyTweet: “Planet killer” is coming our way!
  https://t.co/KxrtY0SDLN
  #medium #mediumwriters #space #cosmos #earth #asteroids #pl…"
0,"TOP 5: long-distance trails in Europe. Take up the trekking challenge
  https://t.co/p8C5reJHM3
  #medium #mediumwriters #trekking #travel #sport #sports #health #traveling #lifestyle #Life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts https://t.co/6sxYgfTMdP"
1,"RT @DarkMatterPosts: Interesting facts about the Inca — do you know everything about this ancient civilization?
  https://t.co/0F8CgLCDTP
  #me…"
1,"RT @DarkEnergyTweet: Interesting facts about penguins — discover surprising facts!
  https://t.co/LlJE6xgfFg
  #medium #mediumwriters #nature #…"
0,"Archaeologists have found a Byzantine trading and gastronomic zone in Ephesus 1,400 years ago.
  https://t.co/Nldv1BY9D4
  #medium #mediumwriters #history #life #lifelessons #culture #travel #research #study #science #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/7MUrb1DLvG"
1,"RT @DarkMatterPosts: Mankind’s most terrible crimes. When did the most people die? This ranking makes you think.
  https://t.co/gSqgQAxcou
  #m…"
1,"RT @DarkEnergyTweet: What is the Great Red Spot? Where is it located and what secrets does it hide?
  https://t.co/PA8C2HPdq7
  #medium #medium…"
0,"Interesting facts about China — tourist, cultural and historical trivia!
  https://t.co/9aLNt6bB5l
  #medium #mediumwriters #china #travel #traveling #culture #lifestyle #life #lifelessons #trivia #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts #blogger https://t.co/zh2lAm4Rsg"
0,"RT @DarkMatterPosts: 15 interesting facts about Denmark and Danes!
  https://t.co/zaV83hdlet
  #medium #mediumwriters #danes #denmark #travel #…"
1,"RT @DarkEnergyTweet: Why have aliens never visited the solar system? Perhaps our Sun doesn’t suit them!
  https://t.co/GyY331IPbz
  #medium #me…"
0,"Ramses II — Showman, master of hyperbole and Egypt’s greatest warrior
  https://t.co/jsorL10oUD
  #medium #mediumwriters #history #ancient #egypt #science #life #lifelessons #culture #lifestyle #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts #blogger https://t.co/jkl2Yo3Hcj"
0,"RT @DarkMatterPosts: Unusual photo — The U.S. Lucy probe has shown the vast distance separating the Earth and the Moon
  https://t.co/N5l7N4s…"
1,"RT @DarkEnergyTweet: What is a red giant? What secrets does this type of star hold?
  https://t.co/RGnlgg5ptu
  #medium #MediumWriters #science…"
1,"Nearly 500km river discovered under Antarctic ice, surprise!
  https://t.co/tCpYxOS55T
  #medium #mediumwriters #climatechange #ClimateEmergency #ClimateCrisis #antarctica #life #lifelessons #science #news #blog #blogs #article #articles #writer #writers #knowmore #interesting #facts https://t.co/29lIveSoVc"
1,"RT @DarkMatterPosts: Where to spend Halloween? Dracula’s Castle in Transylvania hosts an annual event!
  https://t.co/pq5CnI9UWm
  #medium #med…"
1,"RT @DarkEnergyTweet: An amazing photo of the “smiling” Sun has emerged. Does it have a chance to become an icon?
  https://t.co/eMRRWsExpI
  #m…"
0,"Stone spheres found in Greece may be part of one of the world’s oldest board games!
  https://t.co/yxWasyaVu9
  #medium #mediumwriters #history #culture #research #study #game #games #ancient #lifestyle #life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore https://t.co/wmuzpqkSZB"
1,"RT @DarkMatterPosts: How did life originate on Earth? It appeared much earlier than scientists thought!
  https://t.co/JO8e2LIMrm
  #medium #me…"
1,"RT @DarkEnergyTweet: Do you have a toxic job? You may be more willing to give credence to conspiracy theories
  https://t.co/THpukHBZEn
  #medi…"
1,"RT @GlamStyle11: How to develop creativity: a list of 6 ways. Why is it important to spark creativity?
  https://t.co/f3LHCIrG3q
  #medium #med…"
1,"Achievements of ancient Rome. What did the ancient Romans leave behind?
  https://t.co/Znwb6qJozW
  #medium #mediumwriters #life #lifelessons #trivia #history #science #culture #roman #rome #ancient #research #study #blog #blogs #article #articles #writer #writers #knowmore https://t.co/HLxVIEU1m1"
0,"RT @DarkMatterPosts: A Roman villa complex was found in England — the interior contained an ancient heating system!
  https://t.co/PaB3ouwVnb…"
1,"RT @DarkEnergyTweet: An ancient bacterium may lurk beneath the surface of Mars, scientists say — how old is it?
  https://t.co/nta5paPyCP
  #me…"
0,"An oasis of life, a new ecosystem discovered at the bottom of the Indian Ocean!
  https://t.co/mRf7PitEU9
  #medium #mediumwriters #nature #animals #ocean #oceanworld #life #lifelessons #science #research #study #blog #blogging #blogs #article #articles #writer #writers #facts https://t.co/1KXtUVifZs"
0,"RT @DarkMatterPosts: NASA and JAXA test new lunar rover!
  https://t.co/VwausU8ytt
  #medium #mediumwriters #space #moon #cosmos #nasa #jaxa #s…"
0,"RT @DarkEnergyTweet: An unusual neutron star has been discovered. It’s a candidate for a strange star made up of quarks!
  https://t.co/5XSuO…"
0,"The recently discovered cetacean species is already in danger of extinction — only 51 individuals remain!
  https://t.co/qPBU8rQ1Cg
  #medium #mediumwriters #nature #animals #research #study #life #lifelessons #blog #blogs #article #articles #writer #writers #knowmore #intersting https://t.co/Pxe4fImJWJ"
0,"RT @DarkEnergyTweet: In the ruins of a gate destroyed by ISIS, archaeologists found Assyrian sculptures dating back 2,700 years ago!
  https:…"
0,"RT @DarkMatterPosts: Fishermen’s ghost nets, which are lost in the oceans in just one year, can wrap around the Earth 18 times!
  https://t.c…"
